content_id,title,author_name,location_name,content_date,file_name,series,book,content_type,active_ind
297,How Could Not We Cast Him Out?,Don Elwell,Gladstone,4/14/2019,p2019-04-14am.mp3,,,Message,Y
298,God our H.O.P.E.,Don Elwell,Gladstone,4/21/2019,p2019-04-21am.mp3,,,Message,Y
299,God's Love - Our Confidence,Don Elwell,Gladstone,4/28/2019,p2019-04-28am.mp3,,,Message,Y
302,Battle of the Sexes,Don Elwell,Gladstone,5/12/2019,p2019-05-12am.mp3,,,Message,Y
303,Unlimited Minutes,Don Elwell,Gladstone,5/19/2019,p2019-05-19am.mp3,,,Message,Y
304,The Butterfly Effect,Don Elwell,Gladstone,5/26/2019,p2019-05-26am.mp3,,,Message,Y
306,Contentment by Faith,Don Elwell,Gladstone,6/2/2019,p2019-06-02am.mp3,,,Message,Y
307,Heavenly Corporation,Donald Elwell III,Gladstone,6/2/2019,p2019-06-02pm.mp3,,,Message,Y
308,Building on the Rock,Donald Elwell III,Gladstone,6/16/2019,p2019-06-16am.mp3,,,Message,Y
309,Proving your Love,Donald Elwell III,Gladstone,7/7/2019,p2019-07-07am.mp3,,,Message,Y
310,What Doth God Require?,Don Elwell,Gladstone,7/21/2019,p2019-07-21am.mp3,,,Message,Y
311,Obedience By Faith,Don Elwell,Gladstone,7/14/2019,p2019-07-14am.mp3,,,Message,Y
314,A Dog's Life,Don Elwell,Gladstone,8/11/2019,p2019-08-11am.mp3,,,Message,Y
317,Casual Christianity,Don Elwell,Gladstone,8/25/2019,p2019-08-25am.mp3,,,Message,Y
318,Prioritizing our Preferences,Don Elwell,Gladstone,9/1/2019,p2019-09-01am.mp3,,,Message,Y
319,The Power of Life and Death,Don Elwell,Gladstone,9/29/2019,p2019-09-29am.mp3,,,Message,Y
320,Keep Your Focus on God,Donald Elwell III,Gladstone,10/13/2019,p2019-10-13am.mp3,,,Message,Y
321,Destroy Your Distractions,Don Elwell,Gladstone,9/22/2019,p2019-09-22am.mp3,,,Message,Y
322,Distractions,Donald Elwell III,Gladstone,10/27/2019,p2019-10-27am.mp3,,,Message,Y
323,Stir up they Gift,Donald Elwell III,Gladstone,11/10/2019,p2019-11-10am.mp3,,,Message,Y
324,Max Out Your Experience,Don Elwell,Gladstone,10/20/2019,p2019-10-20am.mp3,,,Message,Y
325,Directing thy Path,Don Elwell,Gladstone,11/24/2019,p2019-11-24am.mp3,,,Message,Y
326,Beautifying the Meek,Don Elwell,Gladstone,12/8/2019,p2019-12-08am.mp3,,,Message,Y
327,More Blessed to Give,Don Elwell,Gladstone,12/15/2019,p2019-12-15am.mp3,,,Message,Y
328,Don't Conform - Transform,Don Elwell,Gladstone,12/29/2019,p2019-12-29am.mp3,,,Message,Y
329,Run for Your Life,Don Elwell,Gladstone,1/12/2020,p2020-01-12am.mp3,,,Message,Y
331,Unspotted From the World,Don Elwell,Gladstone,2/9/2020,p2020-02-09am.mp3,,,Message,Y
332,Mental Fortitude,Don Elwell,Gladstone,2/16/2020,p2020-02-16am.mp3,,,Message,Y
333,Dedicated to God's Work,Don Elwell,Gladstone,3/1/2020,p2020-03-01am.mp3,,,Message,Y
337,The Fifth Column,Michael Smith,Gladstone,3/8/2020,p2020-03-08am.mp3,,,Message,Y
338,Standing on the Rock,Ken Elwell,Virtual,4/5/2020,p2020-04-05am.mp3,,,Message,Y
339,Beyond the Cross,Don Elwell,Virtual,4/12/2020,p2020-04-12am.mp3,,,Message,Y
340,Resurrection,Ken Elwell,Virtual,4/12/2020,p2020-04-12pm.mp3,,,Message,Y
342,Take Heed How you Build,Don Elwell,Virtual,4/19/2020,p2020-04-19am.mp3,,,Message,Y
343,Power of the Blessing,Don Elwell,Virtual,4/26/2020,p2020-04-26am.mp3,,,Message,Y
344,Take My Yoke Upon You,Ken Elwell,Virtual,5/3/2020,p2020-05-03am.mp3,,,Message,Y
345,When Feeling Overwhelmed,Don Elwell,Virtual,5/10/2020,p2020-05-10am.mp3,,,Message,Y
346,Walking in the Old Paths,Ken Elwell,Virtual,5/17/2020,p2020-05-17am.mp3,,,Message,Y
348,Time,Mary Lawson,Virtual,5/24/2020,p2020-05-24am.mp3,,,Message,Y
349,Pure Religion,Don Elwell,Virtual,5/31/2020,p2020-05-31am.mp3,,,Message,Y
350,A Place of Maturity,Ken Elwell,Gladstone,6/7/2020,p2020-06-07am.mp3,,,Message,Y
351,The Abundant Life,Don Elwell,Gladstone,6/14/2020,p2020-06-14am.mp3,,,Message,Y
352,God Is Still On His Throne,Michael Smith,Jefferson,6/19/2020,p2020-06-19pm.mp3,,,Message,Y
353,The Land of Our Fathers,Michael Smith,Gladstone,6/21/2020,p2020-06-21am.mp3,,,Message,Y
354,Healing Our Wounds,Donald Elwell III,Gladstone,6/28/2020,p2020-06-28am.mp3,,,Message,Y
358,Discourage Proof,Don Elwell,Gladstone,7/5/2020,p2020-07-05am.mp3,,,Message,Y
359,Spiritual PPE,Don Elwell,Gladstone,7/12/2020,p2020-07-12am.mp3,,,Message,Y
360,He Knows Your Name,Don Elwell,Virtual,7/26/2020,p2020-07-26am.mp3,,,Message,Y
361,A Gracious Offender,Don Elwell,Gladstone,8/9/2020,p2020-08-09am.mp3,,,Message,Y
362,Who Do You Love?,Ken Elwell,Gladstone,8/2/2020,p2020-08-02am.mp3,,,Message,Y
363,Strength through weakness,Ken Elwell,Gladstone,8/16/2020,p2020-08-16am.mp3,,,Message,Y
364,Obedience though Faith,Ken Elwell,Gladstone,8/23/2020,2020-08-23am.mp3,,,Message,Y
365,"Your Own Work, Your Own Reward",Don Elwell,Gladstone,8/30/2020,p2020-08-30am.mp3,,,Message,Y
366,The Cause of Christ,Ken Elwell,Gladstone,9/6/2020,p2020-09-06am.mp3,,,Message,Y
367,Knowing The Truth,Donald Elwell III,Gladstone,9/13/2020,p2020-09-13am.mp3,,,Message,Y
368,Misplaced Fear,Don Elwell,Gladstone,9/20/2020,p2020-09-20am.mp3,,,Message,Y
373,Rewarder of the Diligent,Ken Elwell,Gladstone,9/27/2020,p2020-09-27am.mp3,,,Message,Y
376,You Can Trust God,Don Elwell,Virtual,10/11/2020,p2020-10-11am.mp3,,,Message,Y
377,"Behold the Hand, Behold Nail",Huyen Hoang,Gladstone,10/4/2020,p2020-10-04am.mp3,,,Message,Y
380,Keep your Heart Tender,Don Elwell,Virtual,10/18/2020,p2020-10-18am.mp3,,,Message,Y
382,The Better Life,Michael Smith,Gladstone,10/21/2020,p2020-10-21pm.mp3,,,Message,Y
